Postingan,Kategori Pekerjaan
"Dicari tukang batu untuk proyek renovasi jalan dan pemasangan paving. Tugas melibatkan pemilihan material batuan, pengaturan batuan sebagai pondasi, dan struktur utama jalanan serta trotoar. Pengalaman terkait diharapkan.",Tukang Batu
Saya memiliki kulkas yang mengalami masalah. Masalahnya ialah kulkas tidak berfungsi sama sekalidan sudah terjadi selama sekitar 3 hari. Saya sangat membutuhkan seorang teknisi elektronik yang bisa  memperbaiki mesin ini.,Servis Kulkas
Kami mencari tukang semen yang memiliki pengalaman lebih dari 10 tahun dalam proyek pengecoran gedung-gedung pencakar langit. Kami berencana membangun sebuah gedung 25 lantai di daerah Jakarta Utara. Jika memiliki sertifikasi di bidang penyemanan akan dipertimbangkan sebagai poin tambahan. Segera hubungi kami jika tertarik karena proyek kami akan segera berjalan.,Tukang Semen
"Jika Anda adalah seorang ahli dalam merancang, mengimplementasikan, dan mengelola sistem komputer yang kompleks, kami ingin mendengar lebih banyak tentang kualifikasi Anda.",Service Sistem
Apakah Anda memiliki pengalaman dalam mengelola kebijakan keamanan yang mematuhi standar keamanan industri? Kami mengajak teknisi komputer yang berorientasi kepatuhan untuk bergabung dengan tim kami.,Service Keamanan
"Mesin cuci saya saat ini mengalami masalah serius di mana mesin tidak beroperasi sama sekali. Masalah ini sudah terjadi selama kurang lebih satu minggu terakhir. Saya sedang mencari teknisi elektronik yang mahir dalam servis mesin cuci untuk memeriksa dan memperbaiki masalah ini. Jika Anda memiliki keterampilan yang diperlukan, mohon segera hubungi saya.",Servis Mesin Cuci
Bergabunglah dalam proyek renovasi kami! Kami mencari tukang batu berpengalaman untuk pemilihan material dan pengaturan batuan pada trotoar dan jalan. Pengalaman terkait diutamakan.,Tukang Batu
"Smart TV saya mengalami kerusakan dan membutuhkan servis. Suara tidak berfungsi, gambar tidak jernih, dan tombol-tombol remote tidak merespon. Saya mencari teknisi elektronik yang berpengalaman untuk memperbaiki TV saya.",Servis Televisi
"Dicari teknisi komputer berpengalaman yang dapat menangani masalah perangkat keras, termasuk penggantian dan perbaikan komponen seperti CPU, GPU, RAM, hard drive, dan komponen lain yang mungkin rusak atau usang.",Service Perangkat keras
Lowongan ini ditujukan untuk tukang ukir kayu berpengalaman dalam proyek-proyek arsitektur. Kualifikasi mencakup setidaknya 6 tahun pengalaman dalam mengukir elemen-elemen arsitektural dan kemampuan bekerja sama dengan arsitek dan desainer.,Tukang Kayu
"Soundsystem saya mengalami kerusakan dan perlu diservis. Mesin sudah tidak berfungsi dengan baik dan menyebabkan bising atau output suara yang terlalu keras. Saya telah mencoba memperbaikinya dengan tidak berhasil, jadi saya segera butuh teknisi elektronik yang ahli untuk membantu memperbaiki soundsystem saya.",Servis Soundsystem
"Kesempatan karier terbuka bagi teknisi komputer yang handal dan dapat diandalkan untuk menjadi bagian dari tim kami. Jika Anda memiliki kemampuan mengatasi masalah daya, memperbaiki kerusakan komponen elektronik, dan memahami berbagai jenis perangkat keras, kami ingin mengenal Anda lebih lanjut.",Service Perangkat keras
"Kulkas saya rusak dan mengalami berbagai masalah, mulai dari bocor, dingin yang tidak merata, maupun bunyi mesin. Saya mencari teknisi elektronik yang berpengalaman dan ahli dalam servis kulkas untuk membantu mengatasi masalah ini.",Servis Kulkas
"Kesempatan karier terbuka bagi teknisi komputer yang memiliki keahlian dalam mengembangkan dan memelihara aplikasi berbasis web. Jika Anda dapat menguasai berbagai bahasa pemrograman, memahami arsitektur perangkat lunak web, dan memiliki pengalaman dalam mengimplementasikan fitur-fitur baru, kami ingin melihat portofolio Anda.",Service Perangkat lunak
"Bergabunglah dengan tim kami untuk membangun rumah susun modern dengan kekokohan luar biasa. Kami mencari tukang semen yang memahami struktural bangunan, kondisi alam, dan batuan. Jika Anda memiliki pengalaman yang relevan, kirimkan portofolio Anda segera. Proses penerimaan kami sangat selektif!",Tukang Semen
Lowongan teknisi komputer kami memprioritaskan kandidat yang memiliki keahlian dalam mengelola dan memperbarui basis data serta memastikan integritas dan keamanan data perusahaan.,Service Sistem
"Jika Anda memiliki pengalaman dalam pemeliharaan basis data dan pengoptimalan kinerja, kami mengundang Anda untuk melamar posisi teknisi komputer di perusahaan kami.",Service Data
Lowongan teknisi komputer kami terbuka untuk individu yang dapat mengelola dan memperbarui sistem operasi serta memberikan dukungan teknis terkait penggunaan perangkat keras dan perangkat lunak.,Service Sistem
"Lowongan teknisi komputer kami terbuka bagi individu yang ahli dalam konfigurasi dan pemeliharaan firewall, serta dapat merancang kebijakan keamanan yang efektif.",Service Keamanan
"Kami mencari tukang batu yang memiliki pengalaman dalam membuat pondasi alami dengan batu-batu alam untuk gedung, rumah besar, jembatan, dan bangunan besar lainnya. Mari bergabung dengan proyek kami karena sekarang sedang menjalani lebih dari 10 proyek pembangunan. Syarat utama adalah siap ditempatkan dimana saja dan mau belajar terhadap hal baru.",Tukang Batu
"Kulkas saya mengalami gangguan. Tidak ada masalah dengan lampu indikator tetapi tidak beroperasi sebagaimana mestinya, dan tidak menghasilkan dingin maupun dingin dengan benar. Saya perlu bantuan teknisi yang berpengalaman untuk menyelidiki masalah ini.",Servis Kulkas
"Kesempatan berkarier terbuka untuk teknisi komputer dengan fokus pada perangkat keras. Jika Anda memiliki keahlian dalam mengatasi kerusakan komponen elektronik, mengoptimalkan performa RAM, dan melakukan pemeliharaan sistem, kami sangat tertarik untuk mendengar lebih lanjut.",Service Perangkat keras
"Kami membuka peluang bagi tukang batu berpengalaman dengan setidaknya 8 tahun pengalaman dalam pembangunan tembok benteng. Kualifikasi melibatkan pemahaman mendalam tentang struktur pertahanan, keahlian dalam mengatur batu untuk bangunan bersejarah, dan kemampuan untuk bekerja dengan presisi tinggi.",Tukang Batu
"Permasalahan yang saya alami adalah kulkas saya tidak berfungsi dengan normal. Ini sudah terjadi selama beberapa hari. Kompresor tidak berputar, dan suhu kulkas meningkat dengan cepat. Saya butuh bantuan dari seorang teknisi elektronik untuk memeriksa dan memperbaiki kulkas saya.",Servis Kulkas
"Dicari tukang batu berpengalaman untuk menciptakan patung miniatur gedung, hewan, dan bentuk unik lainnya. Pengalaman lebih dari 10 tahun atau portofolio proyek kreatif sangat dihargai.",Tukang Batu
"Kesempatan istimewa bagi tukang batu yang memiliki keahlian dalam pemeliharaan bangunan bersejarah. Kualifikasi termasuk pengetahuan mendalam tentang teknik restorasi batu, kemampuan untuk mengganti dan memperbaiki elemen batu yang rusak, dan pengalaman bekerja pada proyek pemeliharaan warisan. Pelamar diharapkan memiliki integritas tinggi dan dedikasi terhadap pelestarian nilai sejarah.",Tukang Batu
"Perusahaan kami membutuhkan tukang cat perabotan yang kreatif untuk proyek custom. Kualifikasi yang diharapkan mencakup keahlian dalam menciptakan efek khusus, keterampilan menyesuaikan warna, dan kemampuan untuk memberikan sentuhan unik pada setiap proyek perabotan.",Tukang Cat
"Kami sedang mencari tukang cat bangunan yang memiliki keahlian khusus dalam mencat eksterior. Kualifikasi mencakup pengetahuan tentang cat tahan cuaca, pengalaman dalam perlindungan terhadap elemen-elemen alam, dan kemampuan bekerja dengan efisien di lingkungan luar.",Tukang Cat
"Dibutuhkan tukang cat kayu berpengalaman untuk proyek perbaikan jendela dan pintu. Kualifikasi melibatkan pemahaman tentang perlindungan cat untuk kayu eksterior, kemampuan memperbaiki dan merestorasi permukaan kayu, serta keterampilan dalam mencocokkan warna.",Tukang Cat
"Kami membutuhkan teknisi komputer yang ahli dan memiliki pengalaman luas dalam menangani permasalahan perangkat keras komputer, seperti kerusakan motherboard, komponen elektronik, kendala daya, dan gangguan lainnya.",Service Perangkat keras
Kami membuka peluang bagi tukang las profesional yang terampil dalam proyek pembuatan peralatan industri dengan bahan tahan korosi. Bergabunglah dengan tim kami yang fokus pada pembuatan komponen logam yang tahan terhadap lingkungan yang korosif. Pemahaman tentang sifat korosi logam dan pengalaman dalam proyek industri kimia atau petrokimia sangat diutamakan.,Tukang Las
"Kami mencari tukang batu yang telah bekerja minimal 5 tahun dalam proyek konstruksi berkelanjutan seperti bangunan ramah lingkungan. Kualifikasi mencakup pengetahuan mendalam tentang bahan-bahan ramah lingkungan, pengalaman dalam proyek hijau, dan sertifikasi terkait keberlanjutan.",Tukang Batu
"Kami membuka peluang bagi teknisi komputer yang mengedepankan keahlian dalam memahami dan memperbaiki perangkat keras. Jika Anda memiliki pengalaman dalam mengatasi masalah daya, merawat hard drive, dan melakukan troubleshooting perangkat keras lainnya, kami ingin mendengar kualifikasi Anda.",Service Perangkat keras
"Kesempatan karier terbuka untuk teknisi komputer yang memiliki keahlian istimewa dalam menghadapi tantangan perangkat keras. Jika Anda memiliki pengalaman dalam menangani berbagai jenis kerusakan, mulai dari CPU hingga GPU, dan dapat memberikan solusi yang efektif, kami sangat tertarik untuk mendengar dari Anda.",Service Perangkat keras
"Ada beberapa Ac di rumah saya yang mengalami kerusakan, mulai dari berisik, terasa panas, dan masalah pada suhu yang tidak stabil. Maka, saya mencari tukang servis untuk memperbaiki semuanya dengan layanan yang handal.",Servis AC
"TV digital saya mengalami masalah di mana layar tidak menampilkan gambar, hanya terdengar suara, meskipun kontrol remote berfungsi normal. Saya sedang mencari teknisi elektronik yang berpengalaman dalam servis TV digital untuk memeriksa dan memperbaiki masalah ini. Mohon segera hubungi saya jika Anda memiliki keterampilan yang sesuai.",Servis Televisi
"Perusahaan kami membutuhkan teknisi komputer yang spesialis dalam perangkat keras untuk memenuhi kebutuhan layanan kami. Jika Anda memiliki keterampilan dalam pemeliharaan rutin, penggantian komponen yang akurat, dan dapat bekerja efisien dalam memecahkan masalah terkait hardware, kirimkan lamaran Anda untuk pertimbangan kami.",Service Perangkat keras
Saya memiliki Smart TV yang sedang mengalami kerusakan. Sejak beberapa hari terakhir gambar dan suara mulai bermonoton dan tidak bisa juga mengakses fitur streaming. Oleh karena itu saya ingin memanggil teknisi untuk melakukan servis televisi. Saya berharap teknisi tersebut dapat menjelaskan dan memperbaiki masalah yang sedang terjadi.,Servis Televisi
Salah satu AC di rumah saya bermasalah dan memerlukan perbaikan segera. Saya mencari teknisi servis AC yang dapat datang ke lokasi untuk mengecek dan memperbaikinya. Harap hubungi saya segera jika Anda tersedia untuk membantu. Terima kasih!,Servis AC
"Saat ini, perusahaan kami tengah mencari teknisi komputer yang ahli dalam perangkat lunak komputer untuk bergabung dalam tim IT kami.",Service Perangkat lunak
"Lowongan teknisi komputer kami mengutamakan kandidat yang dapat mengelola alur kerja data end-to-end, mulai dari pengumpulan hingga visualisasi, untuk mendukung keputusan bisnis.",Service Data
"Kami mencari tukang las pipa berpengalaman untuk proyek instalasi sistem sprinkler. Kualifikasi mencakup pemahaman tentang sistem kebakaran, pengalaman dalam pengelasan pipa sprinkler, dan kepatuhan terhadap peraturan keamanan kebakaran.",Tukang Las
Televisi digital saya tidak bersedia saat dinyalakan. Lampu yang ada pada televisi masih berfungsi tetapi layar steril dan suara tidak terdengar. Ini telah terjadi selama dua minggu terakhir. Saya mencari teknisi elektronik yang berpengalaman yang dapat membantu dalam memperbaiki televisi ini.,Servis Televisi
"Perusahaan kami mencari teknisi komputer yang memiliki pemahaman mendalam tentang manajemen siklus hidup data, termasuk kebijakan retensi dan pemusnahan data yang tepat.",Service Data
"Kami mencari teknisi komputer yang memiliki keahlian dalam merancang dan mengelola sistem penyimpanan data berbasis objek, serta dapat mengintegrasikan data dari berbagai sumber.",Service Data
"Perusahaan kami membuka peluang bagi tukang las pipa berpengalaman untuk proyek instalasi pipa air bersih. Kualifikasi mencakup pemahaman tentang sistem air bersih, pengalaman dalam pengelasan pipa dengan ketelitian tinggi, dan kepatuhan terhadap peraturan kualitas air.",Tukang Las
"Kesempatan karier terbuka untuk teknisi komputer yang spesialis dalam perangkat lunak. Jika Anda memiliki pengalaman dalam merawat dan mengoptimalkan aplikasi, serta mengatasi masalah kinerja perangkat lunak, kami ingin mengenal Anda lebih jauh.",Service Perangkat lunak
"Mesin cuci saya mengalami kerusakan berat, Sewaktu ingin mencuci terdengar bunyi yang berat dan suara aneh namun layar digital masih menyala dan display benar. Akhirnya mesin pun tidak bisa memulai. Saya ingin segera memanggil teknisi listrik yang bisa memperbaiki mesin cuci saya.",Servis Mesin Cuci
"Jika Anda memiliki keahlian dalam merancang dan mengimplementasikan strategi backup dan pemulihan data, kami ingin mendengar lebih banyak tentang bagaimana Anda dapat mengelola aspek penting ini dari pekerjaan teknisi komputer.",Service Data
"Kulkas yang saat ini ada di kantor saya mengalami kerusakan dan sudah berusaha untuk diperbaiki, tapi masalah tetap tidak bisa diselesaikan. Sehingga, saya membutuhkan bantuan dari seorang teknisi elektronik yang bisa memeriksa kulkas dan melakukan perbaikan yang diperlukan.",Servis Kulkas
Diperlukan tukang las untuk proyek instalasi pipa dan perakitan logam di fasilitas industri. Pelamar ideal memiliki keterampilan dalam penyambungan pipa dan pengelasan logam berat. Pemahaman tentang sistem pipa dan tata letak instalasi industri sangat dihargai.,Tukang Las
"Kami sedang mencari tukang semen yang memiliki pengalaman dalam pengecoran beton bertulangan. Pengalaman kerja minimal 5 tahun di proyek-proyek bangunan, seperti gedung, jembatan, dan bendungan, sangat diutamakan.",Tukang Semen
"Lowongan teknisi komputer terbuka bagi individu yang berpengalaman dalam menangani aspek perangkat lunak komputer. Jika Anda memiliki kemampuan dalam mengatasi masalah aplikasi, merancang solusi perangkat lunak yang efisien, dan memahami integrasi sistem operasi, kami ingin melihat aplikasi Anda.",Service Perangkat lunak
"Saya memiliki sebuah TV Digital yang mengalami kerusakan. TV ini berkedip-kedip dan tidak masuk ke channel satelit. Saya mencari teknisi elektronik yang bisa memperbaiki kondisi TV ini dengan cepat, efisien, dan efektif.",Servis Televisi
"Kami sedang mencari tukang batu yang memiliki pengalaman dalam mengerjakan berbagai proyek bangunan, seperti rumah, ruko, gedung, dan lainnya. Pekerjaan yang dilakukan meliputi pemasangan batu bata, pengecoran, dan pekerjaan lainnya yang berhubungan dengan batu.",Tukang Batu
"Kami mencari tukang cat bangunan yang mahir dalam teknik stensil untuk proyek artistik. Kualifikasi mencakup kreativitas dalam desain stensil, kemampuan untuk menciptakan pola yang rumit, dan keahlian dalam menerapkan stensil dengan presisi.",Tukang Cat
